label	text_a
0	吃甜食能预防抑郁
0	赤脚跑步锻炼效果更好
0	生土豆汁可以维持血压稳定
0	细嚼慢咽，更有利于保持身材
1	怀孕生小孩后肚子会变松垮
0	珍珠奶茶里一颗珍珠的热量比一杯奶茶要高
1	孕妇使用异维A酸会导致胎儿畸形
0	尿常规检出蛋白是得了肾病
0	18元一只的烤鸭不能吃，鸭子是速成的，还喂了药
0	吃鹅蛋可以去“胎毒”
0	“老中医神奇减肥偏方”真的有效
0	血管粗的人身体健壮
1	碘酸钾作为食盐碘强化剂是安全的
0	吃含有防腐剂的食物会致癌
0	吃大盘鸡、鱼、凉皮、酸菜感染H7N9
0	搓澡巾竟是癌症帮凶，会搓出皮肤癌
0	白米饭是有害的垃圾食品
0	蘑菇和茄子、小米、大黄米同食会中毒
0	脸上出现“肝斑”是肝脏受损的表现
0	吃洋葱和吃大蒜可以预防感冒
0	满月剃光头，能让孩子头发长得更浓密
1	粽子最好趁热吃
0	卡路里也有好坏之分
1	短效口服避孕药可以推迟经期
0	铁锅补铁
0	宝宝鼻头冒“白点”，因孕期盐吃太多
0	可以从自己的症状中判断是否感染HIV 
1	胰腺癌很难早期发现，是“癌中之王”
1	酒渣鼻（玫瑰痤疮）应忌酒、辣椒、咖啡和浓茶
0	转呼啦圈伤害内脏
1	孕妇最好不要喝无卫生保障的鲜榨果汁
0	羽衣甘蓝、抱子甘蓝等4种菜是无可取代的高营养蔬菜
1	高蛋白膳食有利于减肥增肌
0	看B超单的双顶径值和股骨长度能判断男女
1	多吃蔬菜，可能有利于防癌抗癌
1	秋水仙碱可以治疗痛风
0	土豆不能和鸡蛋一起吃
0	橙汁饮料全是色素，有害健康
0	植物肉怎么吃都吃不胖
1	发生旅行者腹泻可以口服补液盐
0	吞津（吞咽唾液）可以滋阴固精，补气养肾
0	发烧时，退热贴能退热
0	花生放入冰箱后会产生黄曲霉毒素
1	移植死者子宫并能生娃
0	每年超过1000个孩子患上各种疫苗后遗症
0	牛奶中的免疫球蛋白可以帮助人体增强抵抗力
0	催熟蔬果会导致性早熟
1	癌症患者可用理想体重法和BMI法判断是否营养不良
1	尖锐湿疣主要是由性接触传播的
